,Date.Day,Date.Month,Date.Year,Data.Cases,Data.Deaths,Location.Country,Location.Code,Data.Population,Location.Continent,Data.Rate
3005,13,2,2020,1,0,United_States_of_America,USA,329064917,America,0.00273502
3016,14,2,2020,0,0,Brazil,BRA,211049519,America,0.0
3018,14,2,2020,0,0,Canada,CAN,37411038,America,0.01069203
3024,14,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
3025,14,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
3047,14,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
3072,14,2,2020,1,0,United_States_of_America,USA,329064917,America,0.00273502
3083,15,2,2020,0,0,Brazil,BRA,211049519,America,0.0
3085,15,2,2020,1,0,Canada,CAN,37411038,America,0.01069203
3091,15,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
3092,15,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
3114,15,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
3139,15,2,2020,0,0,United_States_of_America,USA,329064917,America,0.00243113
3150,16,2,2020,0,0,Brazil,BRA,211049519,America,0.0
3152,16,2,2020,0,0,Canada,CAN,37411038,America,0.01069203
3158,16,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
3159,16,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
3181,16,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
3206,16,2,2020,0,0,United_States_of_America,USA,329064917,America,0.00212724
3217,17,2,2020,0,0,Brazil,BRA,211049519,America,0.0
3219,17,2,2020,0,0,Canada,CAN,37411038,America,0.01069203
3225,17,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
3226,17,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
3248,17,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
3273,17,2,2020,0,0,United_States_of_America,USA,329064917,America,0.00121557
3284,18,2,2020,0,0,Brazil,BRA,211049519,America,0.0
3286,18,2,2020,0,0,Canada,CAN,37411038,America,0.01069203
3292,18,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
3293,18,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
3315,18,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
3340,18,2,2020,0,0,United_States_of_America,USA,329064917,America,0.00121557
3351,19,2,2020,0,0,Brazil,BRA,211049519,America,0.0
3353,19,2,2020,0,0,Canada,CAN,37411038,America,0.00801902
3359,19,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
3360,19,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
3382,19,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
3407,19,2,2020,0,0,United_States_of_America,USA,329064917,America,0.00121557
3418,20,2,2020,0,0,Brazil,BRA,211049519,America,0.0
3420,20,2,2020,0,0,Canada,CAN,37411038,America,0.00801902
3426,20,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
3427,20,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
3449,20,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
3474,20,2,2020,0,0,United_States_of_America,USA,329064917,America,0.00091167
3485,21,2,2020,0,0,Brazil,BRA,211049519,America,0.0
3487,21,2,2020,1,0,Canada,CAN,37411038,America,0.00534602
3493,21,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
3494,21,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
3516,21,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
3541,21,2,2020,1,0,United_States_of_America,USA,329064917,America,0.00121557
3552,22,2,2020,0,0,Brazil,BRA,211049519,America,0.0
3554,22,2,2020,0,0,Canada,CAN,37411038,America,0.00534602
3560,22,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
3561,22,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
3583,22,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
3608,22,2,2020,19,0,United_States_of_America,USA,329064917,America,0.0069895
3619,23,2,2020,0,0,Brazil,BRA,211049519,America,0.0
3621,23,2,2020,0,0,Canada,CAN,37411038,America,0.00534602
3627,23,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
3628,23,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
3650,23,2,2020,1,0,Mexico,MEX,127575529,America,0.0015677
3675,23,2,2020,0,0,United_States_of_America,USA,329064917,America,0.0069895
3686,24,2,2020,0,0,Brazil,BRA,211049519,America,0.0
3688,24,2,2020,0,0,Canada,CAN,37411038,America,0.00534602
3694,24,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
3695,24,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
3717,24,2,2020,0,0,Mexico,MEX,127575529,America,0.0015677
3742,24,2,2020,0,0,United_States_of_America,USA,329064917,America,0.0069895
3753,25,2,2020,0,0,Brazil,BRA,211049519,America,0.0
3755,25,2,2020,2,0,Canada,CAN,37411038,America,0.01069203
3761,25,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
3762,25,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
3784,25,2,2020,2,0,Mexico,MEX,127575529,America,0.00235155
3809,25,2,2020,18,0,United_States_of_America,USA,329064917,America,0.01215566
3820,26,2,2020,1,0,Brazil,BRA,211049519,America,0.00047382
3822,26,2,2020,0,0,Canada,CAN,37411038,America,0.01069203
3828,26,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
3829,26,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
3851,26,2,2020,0,0,Mexico,MEX,127575529,America,0.00235155
3876,26,2,2020,0,0,United_States_of_America,USA,329064917,America,0.01215566
3887,27,2,2020,0,0,Brazil,BRA,211049519,America,0.00047382
3889,27,2,2020,1,0,Canada,CAN,37411038,America,0.01336504
3895,27,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
3896,27,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
3918,27,2,2020,0,0,Mexico,MEX,127575529,America,0.00235155
3943,27,2,2020,6,0,United_States_of_America,USA,329064917,America,0.01367511
3954,28,2,2020,0,0,Brazil,BRA,211049519,America,0.00047382
3956,28,2,2020,2,0,Canada,CAN,37411038,America,0.01871106
3962,28,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
3963,28,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
3985,28,2,2020,5,0,Mexico,MEX,127575529,America,0.0062708
4010,28,2,2020,1,0,United_States_of_America,USA,329064917,America,0.01367511
4021,29,2,2020,0,0,Brazil,BRA,211049519,America,0.00047382
4023,29,2,2020,2,0,Canada,CAN,37411038,America,0.02138406
4029,29,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
4030,29,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
4052,29,2,2020,3,0,Mexico,MEX,127575529,America,0.00862234
4077,29,2,2020,6,0,United_States_of_America,USA,329064917,America,0.01549846
4088,1,3,2020,1,0,Brazil,BRA,211049519,America,0.00094764
4090,1,3,2020,4,0,Canada,CAN,37411038,America,0.03207609
4096,1,3,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
4097,1,3,2020,1,0,Ecuador,ECU,17373657,America,0.00575584
4119,1,3,2020,1,0,Mexico,MEX,127575529,America,0.00940619
4144,1,3,2020,3,1,United_States_of_America,USA,329064917,America,0.01641014
4155,2,3,2020,0,0,Brazil,BRA,211049519,America,0.00094764
4157,2,3,2020,4,0,Canada,CAN,37411038,America,0.04276813
4163,2,3,2020,1,0,Dominican_Republic,DOM,10738957,America,0.00931189
4164,2,3,2020,5,0,Ecuador,ECU,17373657,America,0.03453504
4186,2,3,2020,0,0,Mexico,MEX,127575529,America,0.00940619
4211,2,3,2020,20,1,United_States_of_America,USA,329064917,America,0.02248796
4217,3,3,2020,0,0,Brazil,BRA,211049519,America,0.00094764
4218,3,3,2020,3,0,Canada,CAN,37411038,America,0.05078715
4223,3,3,2020,1,0,Ecuador,ECU,17373657,America,0.04029088
4236,3,3,2020,1,0,Mexico,MEX,127575529,America,0.01019004
4246,3,3,2020,1,0,Sint_Maarten,SXM,42389,America,0.0
4254,3,3,2020,14,4,United_States_of_America,USA,329064917,America,0.02674244
4256,4,3,2020,1,0,Argentina,ARG,44780675,America,0.0
4262,4,3,2020,0,0,Brazil,BRA,211049519,America,0.00094764
4263,4,3,2020,3,0,Canada,CAN,37411038,America,0.05880617
4264,4,3,2020,1,0,Chile,CHL,18952035,America,0.0
4281,4,3,2020,3,0,Mexico,MEX,127575529,America,0.01254159
4301,4,3,2020,22,3,United_States_of_America,USA,329064917,America,0.03342805
4308,5,3,2020,1,0,Brazil,BRA,211049519,America,0.00142147
4309,5,3,2020,3,0,Canada,CAN,37411038,America,0.0668252
4310,5,3,2020,2,0,Chile,CHL,18952035,America,0.0
